Features xtrees cart HOW Baseline Baseline+FS
0 0.0 0.0 0.0 100.0 100.0
1 73.6328125 84.540117416829744 33.268101761252446 99.804305283757344 100.0
2 100.0 100.0 51.076320939334636 0.0 0.0
3 85.546875 91.780821917808225 44.031311154598825 0.0 0.0
4 100.0 97.064579256360076 46.379647749510767 0.0 0.0
5 100.0 97.064579256360076 51.859099804305281 0.0 0.0
6 100.0 57.534246575342465 50.097847358121328 0.0 0.0
7 100.0 100.0 43.24853228962818 0.0 0.0
8 100.0 100.0 49.510763209393346 0.0 0.0
9 100.0 91.389432485322899 44.422700587084151 0.0 0.0
10 0.0 0.0 36.986301369863014 0.0 0.0
