Features xtrees cart HOW Baseline Baseline+FS
0 79.53125 86.71875 35.78125 100.0 100.0
1 98.984375 100.0 56.171875 100.0 100.0
2 95.0 87.8125 44.296875 100.0 100.0
3 91.875 100.0 43.828125 100.0 100.0
4 97.1875 94.140625 49.140625 100.0 100.0
5 92.890625 97.5 44.6875 100.0 100.0
6 96.875 99.21875 42.5 100.0 100.0
7 0.0 0.0 0.0 100.0 100.0
8 42.890625 46.171875 33.90625 100.0 100.0
9 19.0625 66.875 36.25 100.0 100.0
10 63.4375 51.640625 18.984375 100.0 100.0
11 60.15625 25.15625 20.3125 100.0 100.0
12 67.734375 49.53125 15.15625 100.0 100.0
13 0.0 0.0 0.0 100.0 100.0
14 92.5 70.078125 20.625 100.0 100.0
15 62.1875 61.25 25.3125 100.0 100.0
16 100.0 100.0 35.703125 100.0 100.0
17 0.0 0.0 34.0625 100.0 100.0
