Features xtrees cart HOW Baseline Baseline+FS
0 0.0 0.0 0.5270092226613966 99.956082564778214 99.956082564778214
1 39.086517347386909 24.37417654808959 37.637241985068073 100.0 100.0
2 98.287220026350468 95.476504172156339 40.404040404040401 100.0 0.0
3 27.360562143170839 29.249011857707512 16.469038208168644 100.0 100.0
4 25.999121651295564 12.867808519982432 10.1010101010101 100.0 100.0
5 36.187966622749229 26.965305226174792 9.0030742204655247 100.0 100.0
6 13.043478260869565 35.617039964866052 24.022837066315326 100.0 0.0
7 0.0 0.0 0.57092665788317964 99.956082564778214 99.956082564778214
8 39.130434782608695 36.890645586297758 37.373737373737377 0.043917435221783048 0.043917435221783048
9 31.181379007465964 45.234958278436537 33.992094861660078 0.0 100.0
10 0.0 0.0 0.48309178743961351 0.0 0.0
11 22.529644268774703 49.75845410628019 35.221783047870005 0.0 0.0
12 20.553359683794465 22.266139657444004 37.549407114624508 0.0 0.0
13 0.0 0.0 0.5270092226613966 0.0 0.0
14 30.830039525691699 22.178304787000439 20.860781730346947 0.0 0.0
15 43.214756258234516 21.036451471234081 37.022397891963109 0.0 0.0
16 27.009222661396574 34.036012296881864 39.833113746157224 0.0 0.0
17 34.95827843653931 47.079490557751427 28.458498023715414 0.0 0.0
18 74.000878348704433 33.772507685551162 40.008783487044354 0.0 0.0
19 32.015810276679844 21.036451471234081 35.617039964866052 0.0 0.0
20 34.47518664909969 46.157224418093982 31.84014053579271 0.0 0.0
21 23.276240667545014 39.218269653052261 35.529205094422487 0.0 0.0
22 23.188405797101449 21.563460693895475 29.468599033816425 0.0 0.0
23 0.0 0.0 0.5270092226613966 0.0 0.0
24 0.0 0.0 0.57092665788317964 0.0 0.0
25 0.0 0.0 53.140096618357489 0.0 0.0
26 100.0 100.0 52.217830478700044 0.0 0.0
27 0.0 0.0 0.48309178743961351 0.0 0.0
28 100.0 100.0 55.204216073781289 0.0 0.0
29 0.0 0.0 22.74923144488362 0.0 0.0
30 25.20860781730347 25.691699604743082 39.964866051822575 0.0 0.0
31 0.0 0.0 0.57092665788317964 0.0 0.0
32 86.780851998243307 0.0 35.353535353535356 0.0 0.0
33 0.0 74.923144488361885 35.046113306982875 0.0 0.0
34 0.0 0.0 0.043917435221783048 0.0 0.0
35 96.662274923144494 100.0 45.67413263065437 0.0 0.0
36 27.184892402283708 5.7092665788317962 12.779973649538867 0.0 0.0
37 20.992534036012298 28.897672375933247 19.01624945103206 0.0 0.0
38 1.0979358805445762 23.012736056214319 23.847167325428195 0.0 0.0
