Features DTREE HOW Baseline Baseline+FS
OldIO 23.333333333333332 0.0 0.0 0.0
SingleWriteNIO 8.8888888888888893 0.0 0.0 0.0
DirectNIO 38.888888888888886 32.222222222222221 1.1111111111111112 0.0
S100MiB 41.111111111111114 0.0 0.0 0.0
INCompressor 5.5555555555555554 25.555555555555557 0.0 100.0
Verifier 23.333333333333332 15.555555555555555 1.1111111111111112 100.0
ITracing 0.0 41.111111111111114 100.0 0.0
Tracing 0.0 46.666666666666664 100.0 0.0
TracingLevel 18.888888888888889 36.666666666666664 0.0 0.0
Severe 46.666666666666664 0.0 0.0 0.0
Statistics 0.0 0.0 98.888888888888886 0.0
