Features xtrees cart HOW Baseline Baseline+FS
wmc 34.64052287581699 100.0 37.908496732026144 130.96774193548387 130.96774193548387
dit 7.189542483660131 1.2987012987012987 71.24183006535948 130.96774193548387 130.96774193548387
noc 0.6535947712418301 7.792207792207792 61.43790849673203 130.96774193548387 130.96774193548387
cbo 30.718954248366014 11.03896103896104 47.712418300653596 130.96774193548387 130.96774193548387
rfc 100.0 29.87012987012987 37.908496732026144 130.96774193548387 130.96774193548387
lcom 32.6797385620915 3.2467532467532467 45.751633986928105 130.96774193548387 130.96774193548387
ca 0.6535947712418301 9.090909090909092 43.13725490196079 130.96774193548387 130.96774193548387
ce 16.33986928104575 19.48051948051948 43.13725490196079 130.96774193548387 130.96774193548387
npm 28.758169934640524 2.5974025974025974 49.01960784313726 130.96774193548387 130.96774193548387
lcom3 22.875816993464053 25.324675324675326 49.673202614379086 130.96774193548387 130.96774193548387
loc 0.0 0.0 50.98039215686274 130.96774193548387 130.96774193548387
dam 0.6535947712418301 2.5974025974025974 39.21568627450981 130.96774193548387 130.96774193548387
moa 2.6143790849673203 27.92207792207792 37.254901960784316 130.96774193548387 130.96774193548387
mfa 41.1764705882353 11.03896103896104 42.48366013071895 130.96774193548387 130.96774193548387
cam 5.882352941176471 2.5974025974025974 52.287581699346404 130.96774193548387 130.96774193548387
ic 3.9215686274509802 0.0 28.104575163398692 130.96774193548387 130.96774193548387
cbm 16.33986928104575 35.064935064935064 30.065359477124183 130.96774193548387 130.96774193548387
amc 18.30065359477124 71.42857142857143 50.98039215686274 130.96774193548387 130.96774193548387
max_cc 3.9215686274509802 6.4935064935064934 40.52287581699346 130.96774193548387 130.96774193548387
avg_cc 84.9673202614379 41.55844155844156 49.673202614379086 130.96774193548387 130.96774193548387
