Features xtrees cart HOW Baseline Baseline+FS
wmc 15.789473684210526 9.574468085106384 49.76744186046512 149.46808510638297 119.57446808510639
dit 0.0 0.0 33.02325581395349 149.46808510638297 119.57446808510639
noc 0.0 0.0 27.441860465116278 149.46808510638297 119.57446808510639
cbo 32.10526315789474 0.5319148936170213 45.58139534883721 149.46808510638297 119.57446808510639
rfc 0.5263157894736842 11.702127659574469 46.04651162790697 149.46808510638297 119.57446808510639
lcom 4.2105263157894735 0.5319148936170213 55.348837209302324 149.46808510638297 119.57446808510639
ca 1.5789473684210527 14.893617021276595 39.06976744186046 149.46808510638297 119.57446808510639
ce 1.0526315789473684 0.0 47.44186046511628 149.46808510638297 119.57446808510639
npm 2.6315789473684212 6.914893617021277 44.18604651162791 149.46808510638297 119.57446808510639
lcom3 9.473684210526315 7.446808510638298 41.86046511627907 149.46808510638297 119.57446808510639
loc 100.0 51.59574468085106 49.76744186046512 149.46808510638297 119.57446808510639
dam 2.6315789473684212 0.0 37.674418604651166 149.46808510638297 119.57446808510639
moa 0.0 0.0 19.53488372093023 149.46808510638297 119.57446808510639
mfa 0.0 15.425531914893616 43.25581395348837 149.46808510638297 119.57446808510639
cam 47.36842105263158 75.0 45.116279069767444 149.46808510638297 119.57446808510639
ic 0.0 0.5319148936170213 26.976744186046513 149.46808510638297 119.57446808510639
cbm 0.0 1.0638297872340425 36.74418604651163 149.46808510638297 119.57446808510639
amc 13.157894736842104 100.0 48.83720930232558 149.46808510638297 119.57446808510639
max_cc 0.0 0.5319148936170213 35.348837209302324 149.46808510638297 119.57446808510639
avg_cc 17.894736842105264 2.6595744680851063 50.23255813953488 149.46808510638297 119.57446808510639
