Features xtrees cart HOW Baseline Baseline+FS
wmc 0.0 0.0 50.99337748344371 53.93939393939394 51.0989010989011
dit 7.936507936507937 1.183431952662722 57.615894039735096 46.06060606060606 48.35164835164835
noc 0.0 0.0 84.76821192052981 80.0 67.03296703296704
cbo 65.87301587301587 60.946745562130175 41.72185430463576 47.878787878787875 42.857142857142854
rfc 0.0 5.325443786982248 45.033112582781456 49.696969696969695 42.30769230769231
lcom 0.0 4.733727810650888 49.00662251655629 47.878787878787875 41.20879120879121
ca 8.73015873015873 1.183431952662722 43.70860927152318 44.24242424242424 40.65934065934066
ce 23.015873015873016 13.609467455621301 47.682119205298015 55.75757575757576 46.15384615384615
npm 0.0 23.668639053254438 45.6953642384106 49.696969696969695 39.56043956043956
lcom3 0.0 42.603550295857985 50.33112582781457 52.121212121212125 46.15384615384615
loc 100.0 100.0 50.33112582781457 55.15151515151515 50.0
dam 0.0 0.0 27.814569536423843 21.818181818181817 21.978021978021978
moa 0.0 0.0 39.735099337748345 38.18181818181818 39.010989010989015
mfa 22.22222222222222 15.976331360946746 30.4635761589404 30.303030303030305 26.373626373626372
cam 90.47619047619048 8.875739644970414 47.019867549668874 35.15151515151515 34.065934065934066
ic 0.0 0.0 26.490066225165563 24.848484848484848 19.23076923076923
cbm 1.5873015873015872 0.0 25.827814569536425 24.242424242424242 21.978021978021978
amc 0.0 1.183431952662722 50.99337748344371 54.54545454545455 43.40659340659341
max_cc 0.0 1.183431952662722 49.00662251655629 55.75757575757576 41.75824175824176
avg_cc 1.5873015873015872 1.183431952662722 48.34437086092715 53.93939393939394 42.30769230769231
