Features xtrees cart HOW Baseline Baseline+FS
wmc 8.024691358024691 0.5813953488372093 39.57219251336898 36.8421052631579 63.97849462365591
dit 0.0 0.5813953488372093 49.19786096256684 39.03508771929825 37.634408602150536
noc 0.0 0.0 54.54545454545455 49.56140350877193 57.526881720430104
cbo 47.53086419753087 27.325581395348838 49.19786096256684 43.85964912280702 67.20430107526882
rfc 100.0 100.0 43.31550802139037 35.526315789473685 65.05376344086021
lcom 4.320987654320987 4.069767441860465 46.524064171122994 42.10526315789474 68.27956989247312
ca 1.2345679012345678 1.744186046511628 47.05882352941177 41.666666666666664 52.68817204301075
ce 11.11111111111111 3.488372093023256 47.593582887700535 39.91228070175438 69.35483870967742
npm 1.8518518518518519 2.3255813953488373 47.05882352941177 43.421052631578945 66.12903225806451
lcom3 2.4691358024691357 0.0 49.73262032085562 38.1578947368421 49.46236559139785
loc 29.62962962962963 60.46511627906977 45.98930481283423 37.719298245614034 72.58064516129032
dam 0.6172839506172839 0.0 43.31550802139037 25.0 31.182795698924732
moa 0.0 0.0 37.4331550802139 32.45614035087719 48.924731182795696
mfa 67.90123456790124 36.627906976744185 42.780748663101605 30.70175438596491 22.580645161290324
cam 2.4691358024691357 21.511627906976745 50.26737967914438 42.10526315789474 29.032258064516128
ic 0.0 0.0 34.75935828877005 32.45614035087719 32.795698924731184
cbm 9.25925925925926 11.627906976744185 36.36363636363637 35.96491228070175 36.02150537634409
amc 0.6172839506172839 0.0 47.593582887700535 43.421052631578945 64.51612903225806
max_cc 13.580246913580247 0.0 50.26737967914438 42.98245614035088 64.51612903225806
avg_cc 6.790123456790123 11.046511627906977 52.406417112299465 46.92982456140351 67.20430107526882
