Features xtrees cart HOW Baseline Baseline+FS
0 0.0 0.0 0.0 0.0 0.0
1 100.0 87.5 44.791666666666664 19.791666666666668 20.833333333333332
2 100.0 100.0 6.25 28.125 23.958333333333332
3 100.0 100.0 36.458333333333336 20.833333333333332 29.166666666666668
4 26.041666666666668 100.0 22.916666666666668 19.791666666666668 21.875
5 100.0 100.0 13.541666666666666 28.125 26.041666666666668
6 100.0 100.0 19.791666666666668 28.125 25.0
7 92.708333333333329 23.958333333333332 9.375 23.958333333333332 28.125
8 0.0 0.0 39.583333333333336 21.875 20.833333333333332
