Features xtrees cart HOW Baseline Baseline+FS
wmc 5.524861878453039 23.80952380952381 36.25730994152047 23.668639053254438 22.598870056497177
dit 86.1878453038674 76.19047619047619 22.80701754385965 23.668639053254438 22.598870056497177
noc 0.0 0.0 64.32748538011695 23.668639053254438 22.598870056497177
cbo 38.67403314917127 12.5 33.333333333333336 23.668639053254438 22.598870056497177
rfc 18.23204419889503 14.285714285714286 31.57894736842105 23.668639053254438 22.598870056497177
lcom 20.441988950276244 1.7857142857142858 46.198830409356724 23.668639053254438 22.598870056497177
ca 33.70165745856354 51.785714285714285 40.93567251461988 23.668639053254438 22.598870056497177
ce 3.314917127071823 2.380952380952381 45.02923976608187 23.668639053254438 22.598870056497177
npm 37.01657458563536 29.761904761904763 47.953216374269005 23.668639053254438 22.598870056497177
lcom3 53.03867403314917 23.80952380952381 52.046783625730995 23.668639053254438 22.598870056497177
loc 100.0 100.0 51.461988304093566 23.668639053254438 22.598870056497177
dam 21.54696132596685 32.73809523809524 27.485380116959064 23.668639053254438 22.598870056497177
moa 71.8232044198895 50.595238095238095 31.57894736842105 23.668639053254438 22.598870056497177
mfa 0.0 16.071428571428573 25.146198830409357 23.668639053254438 22.598870056497177
cam 36.46408839779006 46.42857142857143 47.36842105263158 23.668639053254438 22.598870056497177
ic 3.314917127071823 6.5476190476190474 18.128654970760234 23.668639053254438 22.598870056497177
cbm 7.734806629834254 10.119047619047619 19.29824561403509 23.668639053254438 22.598870056497177
amc 21.54696132596685 14.285714285714286 52.63157894736842 23.668639053254438 22.598870056497177
max_cc 33.149171270718234 26.785714285714285 42.10526315789474 23.668639053254438 22.598870056497177
avg_cc 11.602209944751381 26.19047619047619 52.046783625730995 23.668639053254438 22.598870056497177
