Features xtrees cart HOW Baseline Baseline+FS
0 0.0 0.0 0.0 100.0 100.0
1 91.493055555555557 97.222222222222229 52.256944444444443 100.0 100.0
2 97.743055555555557 100.0 37.5 100.0 100.0
3 100.0 100.0 56.076388888888886 100.0 100.0
4 98.611111111111114 92.881944444444443 44.444444444444443 100.0 100.0
5 89.930555555555557 94.791666666666671 39.583333333333336 100.0 100.0
6 100.0 67.361111111111114 67.708333333333329 100.0 100.0
7 87.847222222222229 89.930555555555557 56.944444444444443 100.0 100.0
8 0.0 0.0 0.0 100.0 100.0
9 100.0 100.0 34.027777777777779 100.0 100.0
10 0.0 67.708333333333329 39.930555555555557 100.0 100.0
11 65.972222222222229 0.0 31.076388888888889 100.0 100.0
12 0.0 0.0 0.0 100.0 100.0
13 34.027777777777779 32.291666666666664 49.305555555555557 100.0 100.0
14 65.972222222222229 83.159722222222229 35.243055555555557 100.0 100.0
15 75.347222222222229 67.708333333333329 24.479166666666668 100.0 100.0
